Name,SWIFT Target ID,Exposure,RA_decimal,Dec_decimal,Name,UVM2,UVM2_err,UVM2_flux,UVM2_fluxerr,UVW1,UVW1_err,UVW1_flux,UVW1_fluxerr,UVW2,UVW2_err,UVW2_flux,UVW2_fluxerr,V,V_err,V_flux,V_fluxerr,U,U_err,U_flux,U_fluxerr,B,B_err,B_flux,B_fluxerr
1H0323+342,96107,"1,2,3",51.1715,34.1794,1H0323+342,15.9844,0.05,1.87E-15,8.62E-17,15.5973,0.026,2.30E-15,5.56E-17,15.92,0.015,2.29E-15,3.07E-17,,,,,,,,,,,,
,96107,4,,,,15.9851,0.03,1.87E-15,5.95E-17,,,,,16.1,0.03,1.95E-15,5.31E-17,,,,,,,,,,,,
1H1934-063,96108,1,294.3875,-6.218,1H1934-063,14.9353,0.015,4.93E-15,6.84E-17,14.3808,0.0149,7.04E-15,9.72E-17,14.79,0.014,6.47E-15,8.64E-17,12.76,0.0127,2.95E-14,3.46E-16,13.5,1.19E-02,1.41E-14,1.54E-16,1.36E+01,1.08E-02,2.25E-14,2.25E-16
3C120,96109,1,68.2962,5.3543,3C120,14.886,0.015,5.15E-15,7.31E-17,,,,,,,,,,,,,,,,,,,,
3C382,96110,1,278.7641,32.6963,3C382,15.38,0.03,3.26E-15,9.71E-17,,,,,,,,,,,,,,,,,,,,
3C390.3,96111,1,280.5375,79.7714,3C390.3,,,,,,,,,,,,,,,,,14.55,0.00508,5.34E-15,2.50E-17,,,,
ARK120,96112,1,79.0476,-0.1498,Ark120,12.8286,0.0038,3.43E-14,1.20E-16,12.6003,0.0067,3.63E-14,2.25E-16,,,,,,,,,,,,,,,,
ARK564,96113,"1,3",340.6639,29.7254,Ark564,14.1217,0.01686,1.04E-14,1.62E-16,13.8304,0.0074,1.17E-14,7.98E-17,14.03,0.006,1.31E-14,7.32E-17,,,,,13.54,0.005579,1.35E-14,6.95E-17,,,,
MCG-6-30-15,96114,,203.9738,-34.2955,MCG-6-30-15,16.7613,0.0709,9.16E-16,5.98E-17,,,,,16.96,0.058,8.80E-16,4.67E-17,,,,,,,,,,,,
MRK1018,96115,"2,3",31.5666,-0.2914,Mrk1018,17.3535,0.0426,5.31E-16,2.08E-17,16.4915,0.0182,1.01E-15,1.69E-17,17.18,0.028,7.21E-16,1.86E-17,,,,,15.69,0.0246,1.87E-15,4.23E-17,,,,
MRK110,96116,,141.3036,52.2863,Mrk110,13.6628,0.01086,1.59E-14,1.59E-16,,,,,14.22,0.011,,,,,,,,,,,,,,
MRK279,96117,"1,2",208.2644,69.3082,Mrk279,14.1714,0.0143,9.96E-15,1.31E-16,14.2683,0.0195,7.81E-15,1.40E-16,,,,,,,,,,,,,,,,
,96117,"4,5",,,,14.5009,0.0166,7.35E-15,1.13E-16,13.4655,0.00787,1.64E-14,1.19E-16,,,,,,,,,,,,,,,,
MRK335,96118,"1,2,4",1.5813,20.2029,Mrk335,13.6036,0.0301,1.68E-14,4.65E-16,13.4419,0.00354,1.63E-14,5.46E-17,,,,,,,,,13.68,0.01386,1.19E-14,1.52E-16,,,,
,96118,"3,5",,,,13.5329,0.00566,1.79E-14,9.35E-17,,,,,,,,,,,,,13.53,0.0026,1.37E-14,3.28E-17,,,,
,96118,6,,,,13.6312,0.01109,1.64E-14,1.67E-16,,,,,,,,,,,,,,,,,,,,
MRK509,96119,"1,2,3",311.0406,-10.7235,Mrk509,11.8647,0.00825,8.33E-14,6.33E-16,11.9426,0.006498,6.65E-14,3.98E-16,,,,,,,,,11.72,0.00518,7.23E-14,3.45E-16,,,,
MRK590,96120,"2,3",33.6398,-0.7667,Mrk590,14.5867,0.02,6.79E-15,1.25E-16,13.9939,0.00886,1.01E-14,8.21E-17,14.74,0.021,6.81E-15,1.32E-16,,,,,13.51,0.0038,1.40E-14,4.49E-17,,,,
,96120,1,,,,,,,,,,,,14.33,0.008,9.94E-15,7.08E-17,,,,,,,,,,,,
MRK79,96121,1,115.6367,49.8097,Mrk79,13.6523,0.0052,1.61E-14,7.70E-17,,,,,,,,,,,,,,,,,,,,
MRK841,96122,"1,2",226.005,10.4378,Mrk841,12.9545,0.0086,3.05E-14,2.42E-16,,,,,13.32,0.006,2.52E-14,1.49E-16,,,,,13.34,0.00501,1.63E-14,7.53E-17,,,,
NGC1365,96123,,53.4015,-36.1404,NGC1365,13.8118,0.01309,1.39E-14,1.67E-16,13.0436,0.0096,2.41E-14,2.13E-16,,,,,,,,,11.73,0.00428,7.19E-14,2.83E-16,,,,
,96124,,,,,,,,,13.0126,0.00956,2.48E-14,2.19E-16,,,,,,,,,11.73,0.00404,7.17E-14,2.67E-16,,,,
,96125,,,,,,,,,13.4454,0.00506,1.67E-14,7.77E-17,,,,,,,,,,,,,,,,
NGC3783,96124,,174.7573,-37.7387,NGC3783,12.9466,0.00903,3.08E-14,2.56E-16,12.3061,0.0095317,4.76E-14,4.18E-16,,,,,,,,,11.73,0.0036,7.19E-14,2.40E-16,,,,
NGC4051,96125,,180.7901,44.5313,NGC4051,13.6987,0.0089,1.54E-14,1.27E-16,13.3816,0.0091,1.77E-14,1.47E-16,,,,,,,,,,,,,,,,
NGC4151,96126_wt,,182.6357,39.4057,NGC4151,10.4382,0.00455,3.10E-13,1.30E-15,,,,,10.61,0.009,3.05E-13,2.40E-15,,,,,,,,,,,,
NGC4748,96127,"2,3,5",193.0519,-13.4147,NGC4748,,,,,14.4029,0.01216,6.90E-15,7.73E-17,14.36,0.011,9.63E-15,9.94E-17,,,,,13.74,0.0044,1.13E-14,4.57E-17,,,,
,96127,"4,6",,,,,,,,13.9463,0.00708,1.05E-14,6.86E-17,14.35,0.006,9.71E-15,5.63E-17,,,,,,,,,,,,
NGC7469,96128,"1,2",345.8151,8.874,NGC7469,,,,,,,,,12.84,0.007,3.90E-14,2.66E-16,,,,,11.73,0.0042,7.19E-14,2.77E-16,,,,
PG0804+761,96129,"1,3,4",122.7442,76.0451,PG0804+761,12.3481,0.00238,5.34E-14,1.17E-16,12.5011,0.0084,3.98E-14,3.07E-16,12.27,0.003,6.64E-14,2.01E-16,,,,,,,,,,,,
,96129,2,,,,,,,,12.4032,0.0043,4.35E-14,1.70E-16,,,,,,,,,,,,,,,,
,96129,5,,,,,,,,12.6048,0.0012,3.62E-14,4.14E-17,,,,,,,,,,,,,,,,
PG0844+349,96133,"1,3",131.9269,34.7512,PG0844+349,12.553,0.00202,4.42E-14,8.22E-17,12.5591,0.00412,3.77E-14,1.43E-16,12.47,0.002,5.48E-14,1.21E-16,,,,,,,,,,,,
,96133,2,,,,,,,,,,,,12.46,0.002,5.53E-14,1.22E-16,,,,,,,,,,,,
PG1426+015,96130,"1,3",217.2775,1.2851,PG1426+015,,,,,13.0976,0.0058,2.30E-14,1.23E-16,12.814,0.0089,4.01E-14,3.29E-16,,,,,13.32,0.0102,1.66E-14,1.55E-16,,,,
,96130,"2,5",,,,,,,,13.1096,0.0067,2.27E-14,1.41E-16,13.0714,0.00316,3.16E-14,9.21E-17,,,,,,,,,,,,
RBS1124,96131,"1,2,5,6",187.9018,70.7373,RBS1124,15.3424,0.0177,3.39E-15,5.52E-17,15.3196,0.0134,2.97E-15,3.65E-17,14.91,0.018,5.83E-15,9.80E-17,,,,,14.34,0.0076,2.58E-14,1.81E-17,,,,
,96131,"3,4",,,,,,,,,,,,14.9,0.013,5.66E-15,6.60E-17,,,,,15.45,0.0078,2.33E-15,1.67E-17,,,,
UGC6728,96132,"2,3,4,6",176.3168,79.6815,UGC6728,15.6309,0.022,2.60E-15,5.31E-17,15.3463,0.0268,2.90E-15,7.15E-17,15.35,0.015,3.89E-15,5.53E-17,,,,,14.61,0.0114,5.04E-15,5.30E-17,,,,
,96132,"5,7,8",,,,,,,,14.906,0.0126,4.34E-15,5.05E-17,15.81,0.024,2.54E-15,5.55E-17,,,,,14.76,0.0162,4.42E-15,6.58E-17,,,,
,96132,11,,,,,,,,15.1625,0.014,3.43E-15,4.52E-17,,,,,,,,,,,,,,,,
