,Observation ID,Filter,Magnitude_5.0,Magnitude_Error_5.0,Flux_5.0,Flux_Error_5.0,Magnitude_7.0,Magnitude_Error_7.0,Flux_7.0,Flux_Error_7.0,Magnitude_10.0,Magnitude_Error_10.0,Flux_10.0,Flux_Error_10.0,Magnitude_15.0,Magnitude_Error_15.0,Flux_15.0,Flux_Error_15.0,Magnitude_20.0,Magnitude_Error_20.0,Flux_20.0,Flux_Error_20.0,Magnitude_25.0,Magnitude_Error_25.0,Flux_25.0,Flux_Error_25.0,Magnitude_30.0,Magnitude_Error_30.0,Flux_30.0,Flux_Error_30.0,Magnitude_35.0,Magnitude_Error_35.0,Flux_35.0,Flux_Error_35.0
1,96107001,um2,99,0.050,1.76E-15,8.14E-17,99,0.050,1.84E-15,8.51E-17,99,0.050,1.99E-15,9.17E-17,99,0.053,2.09E-15,1.02E-16,99,0.058,2.14E-15,1.15E-16,99,0.063,2.26E-15,1.31E-16,99,0.071,2.27E-15,1.48E-16,99,0.083,2.19E-15,1.68E-16
2,96114001,uw2,99,0.047,7.47E-16,3.21E-17,99,0.042,9.63E-16,3.73E-17,99,0.040,1.19E-15,4.35E-17,99,0.039,1.45E-15,5.27E-17,99,0.042,1.62E-15,6.20E-17,99,0.045,1.76E-15,7.22E-17,99,0.048,1.90E-15,8.38E-17,99,0.051,2.07E-15,9.69E-17
3,96116001,uw2,99,0.012,9.25E-15,1.00E-16,99,0.011,9.86E-15,1.03E-16,99,0.011,1.04E-14,1.06E-16,99,0.011,1.11E-14,1.11E-16,99,0.011,1.17E-14,1.16E-16,99,0.011,1.22E-14,1.21E-16,99,0.011,1.24E-14,1.26E-16,99,0.011,1.26E-14,1.32E-16
4,96117001,um2,99,0.014,9.36E-15,1.23E-16,99,0.014,9.90E-15,1.27E-16,99,0.014,1.04E-14,1.30E-16,99,0.013,1.12E-14,1.35E-16,99,0.013,1.17E-14,1.39E-16,99,0.013,1.19E-14,1.43E-16,99,0.013,1.19E-14,1.46E-16,99,0.014,1.19E-14,1.50E-16
5,96117002,uw1,99,0.021,6.75E-15,1.30E-16,99,0.020,7.26E-15,1.34E-16,99,0.019,7.75E-15,1.39E-16,99,0.019,8.53E-15,1.46E-16,99,0.018,8.97E-15,1.52E-16,99,0.019,9.26E-15,1.58E-16,99,0.019,9.54E-15,1.65E-16,99,0.019,9.74E-15,1.73E-16
6,96122002,uw2,99,0.011,2.07E-14,2.10E-16,99,0.010,2.25E-14,2.17E-16,99,0.010,2.38E-14,2.21E-16,99,0.010,2.52E-14,2.26E-16,99,0.009,2.63E-14,2.31E-16,99,0.009,2.70E-14,2.35E-16,99,0.009,2.74E-14,2.39E-16,99,0.009,2.78E-14,2.44E-16
7,96126002,uw2,99,0.012,1.35E-13,1.43E-15,99,0.010,1.41E-13,1.29E-15,99,0.008,1.50E-13,1.05E-15,99,0.025,1.64E-13,3.80E-15,99,0.024,1.79E-13,3.97E-15,99,0.023,1.89E-13,4.09E-15,99,0.023,1.96E-13,4.17E-15,99,0.023,2.02E-13,4.24E-15
8,96127003,uw2,99,0.013,6.24E-15,7.60E-17,99,0.013,6.79E-15,7.95E-17,99,0.012,7.46E-15,8.38E-17,99,0.011,8.78E-15,9.20E-17,99,0.011,9.63E-15,9.84E-17,99,0.011,1.01E-14,1.04E-16,99,0.012,1.02E-14,1.10E-16,99,0.012,1.04E-14,1.16E-16
9,96132005,uw1,99,0.014,3.57E-15,4.51E-17,99,0.013,3.91E-15,4.76E-17,99,0.013,4.19E-15,5.04E-17,99,0.013,4.52E-15,5.52E-17,99,0.014,4.85E-15,6.08E-17,99,0.014,5.10E-15,6.69E-17,99,0.015,5.30E-15,7.38E-17,99,0.016,5.51E-15,8.15E-17
10,96132006,uuu,99,0.012,3.15E-15,3.61E-17,99,0.012,3.58E-15,3.89E-17,99,0.011,4.11E-15,4.23E-17,99,0.010,4.93E-15,4.70E-17,99,0.010,5.66E-15,4.96E-17,99,0.008,6.29E-15,4.90E-17,99,0.007,6.87E-15,4.32E-17,99,0.016,7.43E-15,1.09E-16